char,num,binario
0,48,0b110000
1,49,0b110001
2,50,0b110010
3,51,0b110011
4,52,0b110100
5,53,0b110101
6,54,0b110110
7,55,0b110111
8,56,0b111000
9,57,0b111001
:,58,0b111010
;,59,0b111011
<,60,0b111100
=,61,0b111101
>,62,0b111110
?,63,0b111111
@,64,0b1000000
A,65,0b1000001
B,66,0b1000010
C,67,0b1000011
D,68,0b1000100
E,69,0b1000101
F,70,0b1000110
G,71,0b1000111
H,72,0b1001000
I,73,0b1001001
J,74,0b1001010
K,75,0b1001011
L,76,0b1001100
M,77,0b1001101
N,78,0b1001110
O,79,0b1001111
P,80,0b1010000
Q,81,0b1010001
R,82,0b1010010
S,83,0b1010011
T,84,0b1010100
U,85,0b1010101
V,86,0b1010110
W,87,0b1010111
X,88,0b1011000
Y,89,0b1011001
Z,90,0b1011010
[,91,0b1011011
\,92,0b1011100
],93,0b1011101
^,94,0b1011110
_,95,0b1011111
`,96,0b1100000
a,97,0b1100001
b,98,0b1100010
c,99,0b1100011
d,100,0b1100100
e,101,0b1100101
f,102,0b1100110
g,103,0b1100111
h,104,0b1101000
i,105,0b1101001
j,106,0b1101010
k,107,0b1101011
l,108,0b1101100
m,109,0b1101101
n,110,0b1101110
o,111,0b1101111
p,112,0b1110000
q,113,0b1110001
r,114,0b1110010
s,115,0b1110011
t,116,0b1110100
u,117,0b1110101
v,118,0b1110110
w,119,0b1110111
x,120,0b1111000
y,121,0b1111001
